topic_uz,topic_ru,word_uz,word_ru
Davlat. Dunyo mamlakatlari,Государство. Страны мира,Milliy,Национальный
Davlat. Dunyo mamlakatlari,Государство. Страны мира,Misr,Египет
Davlat. Dunyo mamlakatlari,Государство. Страны мира,Norvegiya,Норвегия
Davlat. Dunyo mamlakatlari,Государство. Страны мира,Osiyo,Азия
Davlat. Dunyo mamlakatlari,Государство. Страны мира,Parlament,Парламент
Davlat. Dunyo mamlakatlari,Государство. Страны мира,Polsha,Польша
Davlat. Dunyo mamlakatlari,Государство. Страны мира,Prezident,Президент
Davlat. Dunyo mamlakatlari,Государство. Страны мира,Prezidium,Президиум
Davlat. Dunyo mamlakatlari,Государство. Страны мира,Qaror,Постановление
Davlat. Dunyo mamlakatlari,Государство. Страны мира,Rahbar,Глава
Davlat. Dunyo mamlakatlari,Государство. Страны мира,Rahbar,Руководитель
Davlat. Dunyo mamlakatlari,Государство. Страны мира,Rais,Председатель
Davlat. Dunyo mamlakatlari,Государство. Страны мира,Rossiya,Россия
Davlat. Dunyo mamlakatlari,Государство. Страны мира,Ruminiya,Румыния
Davlat. Dunyo mamlakatlari,Государство. Страны мира,Saylov,Выборы
Davlat. Dunyo mamlakatlari,Государство. Страны мира,Shvetsiya,Швеция
Davlat. Dunyo mamlakatlari,Государство. Страны мира,Shveytsariya,Швейцария
Davlat. Dunyo mamlakatlari,Государство. Страны мира,Turkiya,Турция
Davlat. Dunyo mamlakatlari,Государство. Страны мира,Vazir,Министр
Davlat. Dunyo mamlakatlari,Государство. Страны мира,Vengriya,Венгрия
Davlat. Dunyo mamlakatlari,Государство. Страны мира,Vitse-,Вице-
Davlat. Dunyo mamlakatlari,Государство. Страны мира,Vyetnam,Вьетнам
Davlat. Dunyo mamlakatlari,Государство. Страны мира,Xitoy,Китай
Davlat. Dunyo mamlakatlari,Государство. Страны мира,Xorijiy,Иностранный
Davlat. Dunyo mamlakatlari,Государство. Страны мира,Yaponiya,Япония
Davlat. Dunyo mamlakatlari,Государство. Страны мира,Yevropa,Европа
Davlat. Dunyo mamlakatlari,Государство. Страны мира,Yugoslaviya,Югославия
Emotsiyalar. Tuyg'ular. Holatlar,Эмоции. Чувства. Состояния,Asabiy,Взволнованный
Emotsiyalar. Tuyg'ular. Holatlar,Эмоции. Чувства. Состояния,Asabiy,Нервный
Emotsiyalar. Tuyg'ular. Holatlar,Эмоции. Чувства. Состояния,Ayyor,Хитрый
Emotsiyalar. Tuyg'ular. Holatlar,Эмоции. Чувства. Состояния,Baxt,Счастье
Emotsiyalar. Tuyg'ular. Holatlar,Эмоции. Чувства. Состояния,Charchagan,Усталый
Emotsiyalar. Tuyg'ular. Holatlar,Эмоции. Чувства. Состояния,Dangasa,Ленивый
Emotsiyalar. Tuyg'ular. Holatlar,Эмоции. Чувства. Состояния,Do'stlik,Дружба
Emotsiyalar. Tuyg'ular. Holatlar,Эмоции. Чувства. Состояния,Emotsiyalar,Эмоции
Emotsiyalar. Tuyg'ular. Holatlar,Эмоции. Чувства. Состояния,G'alati,Странный
Emotsiyalar. Tuyg'ular. Holatlar,Эмоции. Чувства. Состояния,G'amgin,Грустный
Emotsiyalar. Tuyg'ular. Holatlar,Эмоции. Чувства. Состояния,His-tuyg'u,Чувство
Emotsiyalar. Tuyg'ular. Holatlar,Эмоции. Чувства. Состояния,Iliq,Тёплый
Emotsiyalar. Tuyg'ular. Holatlar,Эмоции. Чувства. Состояния,Ishonch,Доверие
Emotsiyalar. Tuyg'ular. Holatlar,Эмоции. Чувства. Состояния,Issiq,Жарко
Emotsiyalar. Tuyg'ular. Holatlar,Эмоции. Чувства. Состояния,Itoatkorlik,Покорность
Emotsiyalar. Tuyg'ular. Holatlar,Эмоции. Чувства. Состояния,Jirkanch,Отвратительный
Emotsiyalar. Tuyg'ular. Holatlar,Эмоции. Чувства. Состояния,Kamtarin,Скромный
Emotsiyalar. Tuyg'ular. Holatlar,Эмоции. Чувства. Состояния,Kayfiyat,Настроение
Emotsiyalar. Tuyg'ular. Holatlar,Эмоции. Чувства. Состояния,Kibr,Заносчивый
Emotsiyalar. Tuyg'ular. Holatlar,Эмоции. Чувства. Состояния,Kuchli,Сильный
Emotsiyalar. Tuyg'ular. Holatlar,Эмоции. Чувства. Состояния,Kulgili,Смешно
Emotsiyalar. Tuyg'ular. Holatlar,Эмоции. Чувства. Состояния,Kulgu,Смех
Emotsiyalar. Tuyg'ular. Holatlar,Эмоции. Чувства. Состояния,Mag'rur,Гордый
Emotsiyalar. Tuyg'ular. Holatlar,Эмоции. Чувства. Состояния,Maqtanchoq,Хвастливый
Emotsiyalar. Tuyg'ular. Holatlar,Эмоции. Чувства. Состояния,Mehribon,Добрый
Emotsiyalar. Tuyg'ular. Holatlar,Эмоции. Чувства. Состояния,Mehribonlik,Нежность
Emotsiyalar. Tuyg'ular. Holatlar,Эмоции. Чувства. Состояния,Muhabbat,Любовь
Emotsiyalar. Tuyg'ular. Holatlar,Эмоции. Чувства. Состояния,Muloyim,Вежливый
Emotsiyalar. Tuyg'ular. Holatlar,Эмоции. Чувства. Состояния,Nafrat,Ненависть
Emotsiyalar. Tuyg'ular. Holatlar,Эмоции. Чувства. Состояния,Ochiq,Открытый
Emotsiyalar. Tuyg'ular. Holatlar,Эмоции. Чувства. Состояния,Ochko'z,Жадный
Emotsiyalar. Tuyg'ular. Holatlar,Эмоции. Чувства. Состояния,Odat,Привычка
Emotsiyalar. Tuyg'ular. Holatlar,Эмоции. Чувства. Состояния,Oddiy,Простой
Emotsiyalar. Tuyg'ular. Holatlar,Эмоции. Чувства. Состояния,Og'riq,Боль
Emotsiyalar. Tuyg'ular. Holatlar,Эмоции. Чувства. Состояния,Oson,Легко
Emotsiyalar. Tuyg'ular. Holatlar,Эмоции. Чувства. Состояния,Qattiq,Строгий
Emotsiyalar. Tuyg'ular. Holatlar,Эмоции. Чувства. Состояния,Qiyin,Трудно
Emotsiyalar. Tuyg'ular. Holatlar,Эмоции. Чувства. Состояния,Qizg'in,Горячий
Emotsiyalar. Tuyg'ular. Holatlar,Эмоции. Чувства. Состояния,Qo'pol,Грубый
Emotsiyalar. Tuyg'ular. Holatlar,Эмоции. Чувства. Состояния,Qo'rqitmoq,Пугать
Emotsiyalar. Tuyg'ular. Holatlar,Эмоции. Чувства. Состояния,Qo'rqmoq,Бояться
Emotsiyalar. Tuyg'ular. Holatlar,Эмоции. Чувства. Состояния,Qo'rqmoq,Пугаться
Emotsiyalar. Tuyg'ular. Holatlar,Эмоции. Чувства. Состояния,Qo'rquv,Страх
Emotsiyalar. Tuyg'ular. Holatlar,Эмоции. Чувства. Состояния,Quvonch,Радость
Emotsiyalar. Tuyg'ular. Holatlar,Эмоции. Чувства. Состояния,Rahm-shafqat,Жалость
Emotsiyalar. Tuyg'ular. Holatlar,Эмоции. Чувства. Состояния,Saxiy,Щедрый
Emotsiyalar. Tuyg'ular. Holatlar,Эмоции. Чувства. Состояния,Sevgi,Влюблённость
Emotsiyalar. Tuyg'ular. Holatlar,Эмоции. Чувства. Состояния,Shafqatsiz,Жестокий
Emotsiyalar. Tuyg'ular. Holatlar,Эмоции. Чувства. Состояния,Shok,Шок
Emotsiyalar. Tuyg'ular. Holatlar,Эмоции. Чувства. Состояния,Sovuq,Холодный
Emotsiyalar. Tuyg'ular. Holatlar,Эмоции. Чувства. Состояния,Tabassum,Улыбка
Emotsiyalar. Tuyg'ular. Holatlar,Эмоции. Чувства. Состояния,Tinchlik,Покой
Emotsiyalar. Tuyg'ular. Holatlar,Эмоции. Чувства. Состояния,Tirishqoq,Старательный
Emotsiyalar. Tuyg'ular. Holatlar,Эмоции. Чувства. Состояния,Uyat,Стыд
Emotsiyalar. Tuyg'ular. Holatlar,Эмоции. Чувства. Состояния,Xafa,Обидно
Emotsiyalar. Tuyg'ular. Holatlar,Эмоции. Чувства. Состояния,Xohlamaslik,Не хотеть
Emotsiyalar. Tuyg'ular. Holatlar,Эмоции. Чувства. Состояния,Xohlamoq,Хотеть
Emotsiyalar. Tuyg'ular. Holatlar,Эмоции. Чувства. Состояния,Xursand,Весёлый
Emotsiyalar. Tuyg'ular. Holatlar,Эмоции. Чувства. Состояния,Yaxshi,Хорошо
Emotsiyalar. Tuyg'ular. Holatlar,Эмоции. Чувства. Состояния,Yig'lamoq,Плакать
Emotsiyalar. Tuyg'ular. Holatlar,Эмоции. Чувства. Состояния,Yomon,Злой
Emotsiyalar. Tuyg'ular. Holatlar,Эмоции. Чувства. Состояния,Yomon,Плохо
Emotsiyalar. Tuyg'ular. Holatlar,Эмоции. Чувства. Состояния,Yopiq,Замкнутый
Emotsiyalar. Tuyg'ular. Holatlar,Эмоции. Чувства. Состояния,Yoqadi,Нравится
Emotsiyalar. Tuyg'ular. Holatlar,Эмоции. Чувства. Состояния,Yoqimli,Симпатичный
Emotsiyalar. Tuyg'ular. Holatlar,Эмоции. Чувства. Состояния,Yoqmaydi,Не нравится
Emotsiyalar. Tuyg'ular. Holatlar,Эмоции. Чувства. Состояния,Zaif,Слабый
Emotsiyalar. Tuyg'ular. Holatlar,Эмоции. Чувства. Состояния,Zavq,Удовольствие
Emotsiyalar. Tuyg'ular. Holatlar,Эмоции. Чувства. Состояния,Zerikish,Скука
Hayvonlar dunyosi,В мире животных,Ari,Пчела
Hayvonlar dunyosi,В мире животных,Ayiq,Медведь
Hayvonlar dunyosi,В мире животных,Begemot,Бегемот
Hayvonlar dunyosi,В мире животных,Bit,Вошь
Hayvonlar dunyosi,В мире животных,Bo'ri,Волк
Hayvonlar dunyosi,В мире животных,Bola (hayvon),Детёныш
Hayvonlar dunyosi,В мире животных,Bug'u,Олень
Hayvonlar dunyosi,В мире животных,Burga,Блоха
Hayvonlar dunyosi,В мире животных,Buyvol,Буйвол
Hayvonlar dunyosi,В мире животных,Chigirtka,Кузнечик
Hayvonlar dunyosi,В мире животных,Chivin,Комар
Hayvonlar dunyosi,В мире животных,Cho'chqa,Свинья
Hayvonlar dunyosi,В мире животных,Chumoli,Муравей
Hayvonlar dunyosi,В мире животных,Delfin,Дельфин
Hayvonlar dunyosi,В мире животных,Echki,Коза
Hayvonlar dunyosi,В мире животных,Emaklamoq,Ползать
Hayvonlar dunyosi,В мире животных,Eshak,Осёл
Hayvonlar dunyosi,В мире животных,Fil,Мамонт
Hayvonlar dunyosi,В мире животных,Fil,Слон
Hayvonlar dunyosi,В мире животных,G'oz,Гусь
Hayvonlar dunyosi,В мире животных,Hayvon,Животное
Hayvonlar dunyosi,В мире животных,Ho'kiz,Бык
Hayvonlar dunyosi,В мире животных,Ilon,Змея
Hayvonlar dunyosi,В мире животных,In,Гнездо
Hayvonlar dunyosi,В мире животных,Ini,Нора
Hayvonlar dunyosi,В мире животных,It,Собака
Hayvonlar dunyosi,В мире животных,Jirafa,Жираф
Hayvonlar dunyosi,В мире животных,Jo'ja,Птенец
Hayvonlar dunyosi,В мире животных,Kana,Клоп
Hayvonlar dunyosi,В мире животных,Kapalak,Бабочка
Hayvonlar dunyosi,В мире животных,Kenguru,Кенгуру
Hayvonlar dunyosi,В мире животных,Kirpi,Ёж
Hayvonlar dunyosi,В мире животных,Kurka,Индюк
Hayvonlar dunyosi,В мире животных,Maymun,Обезьяна
Hayvonlar dunyosi,В мире животных,Mushuk,Кошка
Hayvonlar dunyosi,В мире животных,Nomi,Название
Hayvonlar dunyosi,В мире животных,O'rdak,Утка
Hayvonlar dunyosi,В мире животных,O'rgimchak,Паук
Hayvonlar dunyosi,В мире животных,Ot,Лошадь
Hayvonlar dunyosi,В мире животных,Pashshа,Муха
Hayvonlar dunyosi,В мире животных,Qo'chqor,Баран
Hayvonlar dunyosi,В мире животных,Qo'y,Овца
Hayvonlar dunyosi,В мире животных,Qurbaqa,Лягушка
Hayvonlar dunyosi,В мире животных,Qurt,Червь
Hayvonlar dunyosi,В мире животных,Qush,Птица
Hayvonlar dunyosi,В мире животных,Quyon,Заяц
Hayvonlar dunyosi,В мире животных,Quртча,Гусеница
Hayvonlar dunyosi,В мире животных,Sher,Лев
Hayvonlar dunyosi,В мире животных,Sichqon,Мышка
Hayvonlar dunyosi,В мире животных,Sigir,Корова
Hayvonlar dunyosi,В мире животных,Taka,Козёл
Hayvonlar dunyosi,В мире животных,Tarakan,Таракан
Hayvonlar dunyosi,В мире животных,Timsoh,Крокодил
Hayvonlar dunyosi,В мире животных,Tovuq,Курица
Hayvonlar dunyosi,В мире животных,Tulki,Лиса
Hayvonlar dunyosi,В мире животных,Tuya,Верблюд
Hayvonlar dunyosi,В мире животных,Uchmoq,Летать
Hayvonlar dunyosi,В мире животных,Xo'roz,Петух
Hayvonlar dunyosi,В мире животных,Yo'lbars,Тигр
Huquq. Qonun,Право. Закон,Advokat,Адвокат
Huquq. Qonun,Право. Закон,Amnistiya,Амнистия
Huquq. Qonun,Право. Закон,Ariza,Заявление
Huquq. Qonun,Право. Закон,Aybdorlik,Вина
Huquq. Qonun,Право. Закон,Ayblanuvchi,Обвиняемый
Huquq. Qonun,Право. Закон,Aybsiz,Невиновный
Huquq. Qonun,Право. Закон,Beparvolik,Халатность
Huquq. Qonun,Право. Закон,Bezori,Хулиган
Huquq. Qonun,Право. Закон,Bosqinchilik,Грабёж
Huquq. Qonun,Право. Закон,Chaqiriq,Вызов
Huquq. Qonun,Право. Закон,Fakt,Факт
Huquq. Qonun,Право. Закон,Guvoh,Свидетель
Huquq. Qonun,Право. Закон,Halok bo'lmoq,Погибнуть
Huquq. Qonun,Право. Закон,Halollik,Честность
Huquq. Qonun,Право. Закон,Hibsga olish,Арест
Huquq. Qonun,Право. Закон,Hiyla ishlatmoq,Изворачиваться
Huquq. Qonun,Право. Закон,Hujjat,Документ
Huquq. Qonun,Право. Закон,Hujum,Нападение
Huquq. Qonun,Право. Закон,Hukm,Приговор
Huquq. Qonun,Право. Закон,Huquqlar,Права
Huquq. Qonun,Право. Закон,Jabrlanuvchi,Пострадавший
Huquq. Qonun,Право. Закон,Janjal,Драка
Huquq. Qonun,Право. Закон,Jarima,Штраф
Huquq. Qonun,Право. Закон,Jinoyatchi,Преступник
Huquq. Qonun,Право. Закон,Jinoyatchi,Уголовник
Huquq. Qonun,Право. Закон,Konvoy,Конвой
Huquq. Qonun,Право. Закон,Musodara,Конфискация
Huquq. Qonun,Право. Закон,O'g'irlik,Воровство
Huquq. Qonun,Право. Закон,O'g'irlik,Кража
Huquq. Qonun,Право. Закон,O'ldirmoq,Убить
Huquq. Qonun,Право. Закон,Obro' to'kmoq,Компрометировать
Huquq. Qonun,Право. Закон,Olib kelmoq,Принести
Huquq. Qonun,Право. Закон,Olmoq,Брать
Huquq. Qonun,Право. Закон,Olmoq,Получать
Huquq. Qonun,Право. Закон,Otib tashlash,Расстрел
Huquq. Qonun,Право. Закон,Pora,Взятка
Huquq. Qonun,Право. Закон,Prokuror,Прокурор
Huquq. Qonun,Право. Закон,Qamoqxona,Тюрьма
Huquq. Qonun,Право. Закон,Qochmoq,Убежать
Huquq. Qonun,Право. Закон,Qonun,Закон
Huquq. Qonun,Право. Закон,Qutulmoq,Избавиться
Huquq. Qonun,Право. Закон,Shaxsiyat,Личность
Huquq. Qonun,Право. Закон,Shikoyat,Жалоба
Huquq. Qonun,Право. Закон,Sud,Суд
Huquq. Qonun,Право. Закон,Tergovchi,Следователь
Huquq. Qonun,Право. Закон,Tergovchi (josus),Детектив (сыщик)
Huquq. Qonun,Право. Закон,Tikish (ko'z),Очная ставка
Huquq. Qonun,Право. Закон,To'satdan,Внезапно
Huquq. Qonun,Право. Закон,Tovlamachilik,Вымогательство
Huquq. Qonun,Право. Закон,Ushlashmoq,Поймать
Huquq. Qonun,Право. Закон,Yolg'on gapirmoq,Врать
Huquq. Qonun,Право. Закон,Yurist,Юрист
Huquq. Qonun,Право. Закон,Yuz,Лицо
Huquq. Qonun,Право. Закон,Zarar,Вред
Huquq. Qonun,Право. Закон,Zo'rlik,Изнасилование
Idish-tovoq. Oziq-ovqat,Посуда. Продукты,Aroq,Водка
Idish-tovoq. Oziq-ovqat,Посуда. Продукты,Baliq,Рыба
Idish-tovoq. Oziq-ovqat,Посуда. Продукты,Banka,Банка
Idish-tovoq. Oziq-ovqat,Посуда. Продукты,Bug'doy,Пшеная
Idish-tovoq. Oziq-ovqat,Посуда. Продукты,Choy,Чай
Idish-tovoq. Oziq-ovqat,Посуда. Продукты,Choynak,Чайник
Idish-tovoq. Oziq-ovqat,Посуда. Продукты,Chuchvara,Пельмени
Idish-tovoq. Oziq-ovqat,Посуда. Продукты,Durshlag,Дуршлаг
Idish-tovoq. Oziq-ovqat,Посуда. Продукты,Elak,Сито
Idish-tovoq. Oziq-ovqat,Посуда. Продукты,Ezg'ich,Толкушка
Idish-tovoq. Oziq-ovqat,Посуда. Продукты,Go'sht,Мясо
