topic_uz,topic_ru,word_uz,word_ru,topic_en,word_en
Bozor va bozorlik,Рынок и торговля,Bozor kursi,Рыночный курс,Market and Trade,Market rate
Bozor va bozorlik,Рынок и торговля,Brend,Бренд,Market and Trade,Brand
Bozor va bozorlik,Рынок и торговля,Chakana savdo,Розничная торговля,Market and Trade,Retail trade
Bozor va bozorlik,Рынок и торговля,Chegirma,Скидка,Market and Trade,Discount
Bozor va bozorlik,Рынок и торговля,Chorsu,Чорсу (крытый рынок),Market and Trade,Chorsu (covered market)
Bozor va bozorlik,Рынок и торговля,Chorva bozori(hayvon bozor),Скотный рынок,Market and Trade,Livestock market
Bozor va bozorlik,Рынок и торговля,Daromad,Доход,Market and Trade,Income
Bozor va bozorlik,Рынок и торговля,Dehqon bozori,Дехканский рынок,Market and Trade,Farmers' market
Bozor va bozorlik,Рынок и торговля,Doimiy mijoz,Постоянный клиент,Market and Trade,Regular customer
Bozor va bozorlik,Рынок и торговля,Dokon,Магазин,Market and Trade,Shop
Bozor va bozorlik,Рынок и торговля,Don mahsulotlari,Зерновые продукты,Market and Trade,Grain products
Bozor va bozorlik,Рынок и торговля,Ehtiyot qismlar,Запасные части,Market and Trade,Spare parts
Bozor va bozorlik,Рынок и торговля,Eksport,Экспорт,Market and Trade,Export
Bozor va bozorlik,Рынок и торговля,Elektron savdo,Электронная торговля,Market and Trade,E-commerce
Bozor va bozorlik,Рынок и торговля,Eski buyum bozori,Рынок подержанных товаров,Market and Trade,Second-hand market
Bozor va bozorlik,Рынок и торговля,Farrosh,Дворник / уборщик,Market and Trade,Janitor / Cleaner
Bozor va bozorlik,Рынок и торговля,Foyda,Прибыль,Market and Trade,Profit
Bozor va bozorlik,Рынок и торговля,Gilam,Ковёр,Market and Trade,Carpet
Bozor va bozorlik,Рынок и торговля,Gosht,Мясо,Market and Trade,Meat
Bozor va bozorlik,Рынок и торговля,Gul bozori,Цветочный рынок,Market and Trade,Flower market
Bozor va bozorlik,Рынок и торговля,Hamyon,Кошелёк,Market and Trade,Wallet
Bozor va bozorlik,Рынок и торговля,Hisob,Счёт,Market and Trade,Score
Bozor va bozorlik,Рынок и торговля,Hisob-kitob qilmoq,Рассчитаться,Market and Trade,To settle up
Bozor va bozorlik,Рынок и торговля,Hunarmand,Ремесленник,Market and Trade,Craftsman
Bozor va bozorlik,Рынок и торговля,Ichimliklar,Напитки,Market and Trade,Beverages
Bozor va bozorlik,Рынок и торговля,Idish-tovoq,Посуда,Market and Trade,Dishes / Cookware
Bozor va bozorlik,Рынок и торговля,Ijara,Аренда,Market and Trade,Rent
Bozor va bozorlik,Рынок и торговля,Import,Импорт,Market and Trade,Import
Bozor va bozorlik,Рынок и торговля,Ipak mato,Шёлковая ткань,Market and Trade,Silk fabric
Bozor va bozorlik,Рынок и торговля,Ishlab chiqaruvchi,Производитель,Market and Trade,Manufacturer
Bozor va bozorlik,Рынок и торговля,Istemol,Потребление,Market and Trade,Consumption
Bozor va bozorlik,Рынок и торговля,Jarayon,Процесс,Market and Trade,Process
Bozor va bozorlik,Рынок и торговля,Javdar,Рожь,Market and Trade,Rye
Bozor va bozorlik,Рынок и торговля,Jomadon,Чемодан,Market and Trade,Suitcase
Bozor va bozorlik,Рынок и торговля,Kalish,Галоши,Market and Trade,Galoshes
Bozor va bozorlik,Рынок и торговля,Kartadan otkazma,Перевод с карты,Market and Trade,Card transfer
Bozor va bozorlik,Рынок и торговля,Kassir,Кассир,Market and Trade,Cashier
Bozor va bozorlik,Рынок и торговля,Kitob bozori,Книжный рынок,Market and Trade,Book market
Bozor va bozorlik,Рынок и торговля,Kiyim bozori,Рынок одежды,Market and Trade,Clothing market
Bozor va bozorlik,Рынок и торговля,Kiyim-kechak,Одежда,Market and Trade,Clothing
Bozor va bozorlik,Рынок и торговля,Kokat,Зелень,Market and Trade,Greens
Bozor va bozorlik,Рынок и торговля,Konserva,Консервы,Market and Trade,Canned goods
Bozor va bozorlik,Рынок и торговля,Mahsulot,Продукт / товар,Market and Trade,Product / Goods
Bozor va bozorlik,Рынок и торговля,Meva,Фрукт,Market and Trade,Fruit
Bozor va bozorlik,Рынок и торговля,Mijoz,Клиент,Market and Trade,Client
Bozor va bozorlik,Рынок и торговля,Milliy mahsulot,Национальный продукт,Market and Trade,National product
Bozor va bozorlik,Рынок и торговля,Mol,Товар,Market and Trade,Goods
Bozor va bozorlik,Рынок и торговля,Moyna,Мех,Market and Trade,Fur
Bozor va bozorlik,Рынок и торговля,Muzlatkich,Холодильник,Market and Trade,Refrigerator
Bozor va bozorlik,Рынок и торговля,Naqd tolov,Наличная оплата,Market and Trade,Cash payment
Bozor va bozorlik,Рынок и торговля,Narx,Цена,Market and Trade,Price
Bozor va bozorlik,Рынок и торговля,Narx-navoni sorash,Торговаться,Market and Trade,To bargain
Bozor va bozorlik,Рынок и торговля,Narxni tushurish,Снижение цены,Market and Trade,Price reduction
Bozor va bozorlik,Рынок и торговля,Navbat,Очередь,Market and Trade,Queue
Bozor va bozorlik,Рынок и торговля,Non,Хлеб,Market and Trade,Bread
Bozor va bozorlik,Рынок и торговля,Novvoy,Пекарь,Market and Trade,Baker
Bozor va bozorlik,Рынок и торговля,Noxat,Нут,Market and Trade,Chickpeas
Bozor va bozorlik,Рынок и торговля,Olchov,Измерение,Market and Trade,Measurement
Bozor va bozorlik,Рынок и торговля,Ombor,Склад,Market and Trade,Warehouse
Bozor va bozorlik,Рынок и торговля,Orama,Запас,Market and Trade,Stock / Reserve
Bozor va bozorlik,Рынок и торговля,Osimlik yogi,Растительное масло,Market and Trade,Vegetable oil
Bozor va bozorlik,Рынок и торговля,Oziq-ovqat,Продукты питания,Market and Trade,Food products
Bozor va bozorlik,Рынок и торговля,Pishiriq,Выпечка,Market and Trade,Baked goods
Bozor va bozorlik,Рынок и торговля,Piyoz,Лук,Market and Trade,Onion
Bozor va bozorlik,Рынок и торговля,Poliz mahsulotlari,Бахчевые культуры,Market and Trade,Melon crops
Bozor va bozorlik,Рынок и торговля,Qand,Сахар,Market and Trade,Sugar
Bozor va bozorlik,Рынок и торговля,Qassob,Мясник,Market and Trade,Butcher
Bozor va bozorlik,Рынок и торговля,Qatiq,Катык (кислое молоко),Market and Trade,Sour cream / Katyk
Bozor va bozorlik,Рынок и торговля,Qaytim,Сдача,Market and Trade,Change (money)
Bozor va bozorlik,Рынок и торговля,Qoy goshti,Баранина,Market and Trade,Lamb
Bozor va bozorlik,Рынок и торговля,Quritilgan meva,Сухофрукты,Market and Trade,Dried fruits
Bozor va bozorlik,Рынок и торговля,Rasta,Ряд (на базаре),Market and Trade,Row (at bazaar)
Bozor va bozorlik,Рынок и торговля,Reklama,Реклама,Market and Trade,Advertisement
Bozor va bozorlik,Рынок и торговля,Ruxsatnoma,Разрешение,Market and Trade,Permit
Bozor va bozorlik,Рынок и торговля,Sabzavot,Овощи,Market and Trade,Vegetables
Bozor va bozorlik,Рынок и торговля,Sabzi,Морковь,Market and Trade,Carrot
Bozor va bozorlik,Рынок и торговля,Sanoat mahsulotlari,Промышленные товары,Market and Trade,Industrial goods
Bozor va bozorlik,Рынок и торговля,Savat,Корзина,Market and Trade,Basket
Bozor va bozorlik,Рынок и торговля,Savdo,Торговля,Market and Trade,Trade
Bozor va bozorlik,Рынок и торговля,Savdo markazi,Торговый центр,Market and Trade,Shopping center
Bozor va bozorlik,Рынок и торговля,Savdogar,Торговец,Market and Trade,Merchant
Bozor va bozorlik,Рынок и торговля,Savdolashish,Торговаться,Market and Trade,Bargaining
Bozor va bozorlik,Рынок и торговля,Shovqin,Шум,Market and Trade,Noise
Bozor va bozorlik,Рынок и торговля,Sirka,Уксус,Market and Trade,Vinegar
Bozor va bozorlik,Рынок и торговля,Som,Сум (валюта),Market and Trade,Som (currency)
Bozor va bozorlik,Рынок и торговля,Sotuvchi,Продавец,Market and Trade,Seller
Bozor va bozorlik,Рынок и торговля,Sut mahsulotlari,Молочные продукты,Market and Trade,Dairy products
Bozor va bozorlik,Рынок и торговля,Taklif,Предложение,Market and Trade,Offer
Bozor va bozorlik,Рынок и торговля,Talab,Спрос,Market and Trade,Demand
Bozor va bozorlik,Рынок и торговля,Taminotchi,Поставщик,Market and Trade,Supplier
Bozor va bozorlik,Рынок и торговля,Tandir,Тандыр,Market and Trade,Tandoor
Bozor va bozorlik,Рынок и торговля,Tarozi,Весы,Market and Trade,Scales
Bozor va bozorlik,Рынок и торговля,Texnika bozori,Рынок техники,Market and Trade,Electronics market
Bozor va bozorlik,Рынок и торговля,Toshbozor,Каменный рынок,Market and Trade,Stone market
Bozor va bozorlik,Рынок и торговля,Ulgurji,Оптовый,Market and Trade,Wholesale
Bozor va bozorlik,Рынок и торговля,Un mahsulotlari,Мучные изделия,Market and Trade,Flour products
Bozor va bozorlik,Рынок и торговля,Urug,Семена,Market and Trade,Seeds
Bozor va bozorlik,Рынок и торговля,Usta,Мастер,Market and Trade,Master / Craftsman
Bozor va bozorlik,Рынок и торговля,Uy-rozgor buyumlari,Предметы быта,Market and Trade,Household items
Bozor va bozorlik,Рынок и торговля,Uzum,Виноград,Market and Trade,Grapes
Bozor va bozorlik,Рынок и торговля,Xarajat,Расходы,Market and Trade,Expenses
Bozor va bozorlik,Рынок и торговля,Xaridor,Покупатель,Market and Trade,Buyer
Bozor va bozorlik,Рынок и торговля,Xojalik mollari,Хозяйственные товары,Market and Trade,Household goods
Bozor va bozorlik,Рынок и торговля,Xomashyo,Сырьё,Market and Trade,Raw materials
Bozor va bozorlik,Рынок и торговля,Xorijiy mahsulot,Иностранный продукт,Market and Trade,Foreign product
Bozor va bozorlik,Рынок и торговля,Yetkazib berish xizmati,Служба доставки,Market and Trade,Delivery service
Bozor va bozorlik,Рынок и торговля,Ziravorlar,Специи,Market and Trade,Spices
Davlat. Dunyo mamlakatlari,Государство. Страны мира,Afrika,Африка,State. Countries of the World,Africa
Davlat. Dunyo mamlakatlari,Государство. Страны мира,Albaniya,Албания,State. Countries of the World,Albania
Davlat. Dunyo mamlakatlari,Государство. Страны мира,Amerika,Америка,State. Countries of the World,America
Davlat. Dunyo mamlakatlari,Государство. Страны мира,Angliya,Англия,State. Countries of the World,England
Davlat. Dunyo mamlakatlari,Государство. Страны мира,Avstraliya,Австралия,State. Countries of the World,Australia
Davlat. Dunyo mamlakatlari,Государство. Страны мира,Avstriya,Австрия,State. Countries of the World,Austria
Davlat. Dunyo mamlakatlari,Государство. Страны мира,Bolgariya,Болгария,State. Countries of the World,Bulgaria
Davlat. Dunyo mamlakatlari,Государство. Страны мира,Bosh vazir,Премьер-министр,State. Countries of the World,Prime Minister
Davlat. Dunyo mamlakatlari,Государство. Страны мира,Chegara,Граница,State. Countries of the World,Border
Davlat. Dunyo mamlakatlari,Государство. Страны мира,Chexiya,Чехия,State. Countries of the World,Czech Republic
Davlat. Dunyo mamlakatlari,Государство. Страны мира,Daniya,Дания,State. Countries of the World,Denmark
Davlat. Dunyo mamlakatlari,Государство. Страны мира,Davlat,Государство,State. Countries of the World,State
Davlat. Dunyo mamlakatlari,Государство. Страны мира,Demokratiya,Демократия,State. Countries of the World,Democracy
Davlat. Dunyo mamlakatlari,Государство. Страны мира,Farmon,Указ,State. Countries of the World,Decree
Davlat. Dunyo mamlakatlari,Государство. Страны мира,Finlyandiya,Финляндия,State. Countries of the World,Finland
Davlat. Dunyo mamlakatlari,Государство. Страны мира,Frantsiya,Франция,State. Countries of the World,France
Davlat. Dunyo mamlakatlari,Государство. Страны мира,Germaniya,Германия,State. Countries of the World,Germany
Davlat. Dunyo mamlakatlari,Государство. Страны мира,Gollandiya,Голландия,State. Countries of the World,Netherlands
Davlat. Dunyo mamlakatlari,Государство. Страны мира,Gretsiya,Греция,State. Countries of the World,Greece
Davlat. Dunyo mamlakatlari,Государство. Страны мира,Hindiston,Индия,State. Countries of the World,India
Davlat. Dunyo mamlakatlari,Государство. Страны мира,Hokimiyat,Власть,State. Countries of the World,Authority / Power
Davlat. Dunyo mamlakatlari,Государство. Страны мира,Hukumat,Правительство,State. Countries of the World,Government
Davlat. Dunyo mamlakatlari,Государство. Страны мира,Ispaniya,Испания,State. Countries of the World,Spain
Davlat. Dunyo mamlakatlari,Государство. Страны мира,Isroil,Израиль,State. Countries of the World,Israel
Davlat. Dunyo mamlakatlari,Государство. Страны мира,Italiya,Италия,State. Countries of the World,Italy
Davlat. Dunyo mamlakatlari,Государство. Страны мира,Kapitalizm,Капитализм,State. Countries of the World,Capitalism
Davlat. Dunyo mamlakatlari,Государство. Страны мира,Koreya,Корея,State. Countries of the World,Korea
Davlat. Dunyo mamlakatlari,Государство. Страны мира,Mamlakat,Страна,State. Countries of the World,Country
Davlat. Dunyo mamlakatlari,Государство. Страны мира,Milliy,Национальный,State. Countries of the World,National
Davlat. Dunyo mamlakatlari,Государство. Страны мира,Misr,Египет,State. Countries of the World,Egypt
Davlat. Dunyo mamlakatlari,Государство. Страны мира,Norvegiya,Норвегия,State. Countries of the World,Norway
Davlat. Dunyo mamlakatlari,Государство. Страны мира,Osiyo,Азия,State. Countries of the World,Asia
Davlat. Dunyo mamlakatlari,Государство. Страны мира,Parlament,Парламент,State. Countries of the World,Parliament
Davlat. Dunyo mamlakatlari,Государство. Страны мира,Polsha,Польша,State. Countries of the World,Poland
Davlat. Dunyo mamlakatlari,Государство. Страны мира,Prezident,Президент,State. Countries of the World,President
Davlat. Dunyo mamlakatlari,Государство. Страны мира,Prezidium,Президиум,State. Countries of the World,Presidium
Davlat. Dunyo mamlakatlari,Государство. Страны мира,Qaror,Постановление,State. Countries of the World,Decision / Resolution
Davlat. Dunyo mamlakatlari,Государство. Страны мира,Rahbar,Глава,State. Countries of the World,Leader / Head
Davlat. Dunyo mamlakatlari,Государство. Страны мира,Rahbar,Руководитель,State. Countries of the World,Leader / Head
Davlat. Dunyo mamlakatlari,Государство. Страны мира,Rais,Председатель,State. Countries of the World,Chairman
Davlat. Dunyo mamlakatlari,Государство. Страны мира,Rossiya,Россия,State. Countries of the World,Russia
Davlat. Dunyo mamlakatlari,Государство. Страны мира,Ruminiya,Румыния,State. Countries of the World,Romania
Davlat. Dunyo mamlakatlari,Государство. Страны мира,Saylov,Выборы,State. Countries of the World,Elections
Davlat. Dunyo mamlakatlari,Государство. Страны мира,Shvetsiya,Швеция,State. Countries of the World,Sweden
Davlat. Dunyo mamlakatlari,Государство. Страны мира,Shveytsariya,Швейцария,State. Countries of the World,Switzerland
Davlat. Dunyo mamlakatlari,Государство. Страны мира,Turkiya,Турция,State. Countries of the World,Turkey
Davlat. Dunyo mamlakatlari,Государство. Страны мира,Vazir,Министр,State. Countries of the World,Minister
Davlat. Dunyo mamlakatlari,Государство. Страны мира,Vengriya,Венгрия,State. Countries of the World,Hungary
Davlat. Dunyo mamlakatlari,Государство. Страны мира,Vitse-,Вице-,State. Countries of the World,Vice-
Davlat. Dunyo mamlakatlari,Государство. Страны мира,Vyetnam,Вьетнам,State. Countries of the World,Vietnam
Davlat. Dunyo mamlakatlari,Государство. Страны мира,Xitoy,Китай,State. Countries of the World,China
Davlat. Dunyo mamlakatlari,Государство. Страны мира,Xorijiy,Иностранный,State. Countries of the World,Foreign
Davlat. Dunyo mamlakatlari,Государство. Страны мира,Yaponiya,Япония,State. Countries of the World,Japan
Davlat. Dunyo mamlakatlari,Государство. Страны мира,Yevropa,Европа,State. Countries of the World,Europe
Davlat. Dunyo mamlakatlari,Государство. Страны мира,Yugoslaviya,Югославия,State. Countries of the World,Yugoslavia
Emotsiyalar. Tuyg'ular. Holatlar,Эмоции. Чувства. Состояния,Asabiy,Взволнованный,Emotions. Feelings. States,Nervous / Anxious
Emotsiyalar. Tuyg'ular. Holatlar,Эмоции. Чувства. Состояния,Asabiy,Нервный,Emotions. Feelings. States,Nervous / Anxious
Emotsiyalar. Tuyg'ular. Holatlar,Эмоции. Чувства. Состояния,Ayyor,Хитрый,Emotions. Feelings. States,Cunning
Emotsiyalar. Tuyg'ular. Holatlar,Эмоции. Чувства. Состояния,Baxt,Счастье,Emotions. Feelings. States,Happiness
Emotsiyalar. Tuyg'ular. Holatlar,Эмоции. Чувства. Состояния,Charchagan,Усталый,Emotions. Feelings. States,Tired
Emotsiyalar. Tuyg'ular. Holatlar,Эмоции. Чувства. Состояния,Dangasa,Ленивый,Emotions. Feelings. States,Lazy
Emotsiyalar. Tuyg'ular. Holatlar,Эмоции. Чувства. Состояния,Do'stlik,Дружба,Emotions. Feelings. States,Friendship
Emotsiyalar. Tuyg'ular. Holatlar,Эмоции. Чувства. Состояния,Emotsiyalar,Эмоции,Emotions. Feelings. States,Emotions
Emotsiyalar. Tuyg'ular. Holatlar,Эмоции. Чувства. Состояния,G'alati,Странный,Emotions. Feelings. States,Strange
Emotsiyalar. Tuyg'ular. Holatlar,Эмоции. Чувства. Состояния,G'amgin,Грустный,Emotions. Feelings. States,Sad
Emotsiyalar. Tuyg'ular. Holatlar,Эмоции. Чувства. Состояния,His-tuyg'u,Чувство,Emotions. Feelings. States,Feeling
Emotsiyalar. Tuyg'ular. Holatlar,Эмоции. Чувства. Состояния,Iliq,Тёплый,Emotions. Feelings. States,Warm
Emotsiyalar. Tuyg'ular. Holatlar,Эмоции. Чувства. Состояния,Ishonch,Доверие,Emotions. Feelings. States,Trust
Emotsiyalar. Tuyg'ular. Holatlar,Эмоции. Чувства. Состояния,Issiq,Жарко,Emotions. Feelings. States,Hot
Emotsiyalar. Tuyg'ular. Holatlar,Эмоции. Чувства. Состояния,Itoatkorlik,Покорность,Emotions. Feelings. States,Obedience
Emotsiyalar. Tuyg'ular. Holatlar,Эмоции. Чувства. Состояния,Jirkanch,Отвратительный,Emotions. Feelings. States,Disgusting
Emotsiyalar. Tuyg'ular. Holatlar,Эмоции. Чувства. Состояния,Kamtarin,Скромный,Emotions. Feelings. States,Modest
Emotsiyalar. Tuyg'ular. Holatlar,Эмоции. Чувства. Состояния,Kayfiyat,Настроение,Emotions. Feelings. States,Mood
Emotsiyalar. Tuyg'ular. Holatlar,Эмоции. Чувства. Состояния,Kibr,Заносчивый,Emotions. Feelings. States,Arrogant
Emotsiyalar. Tuyg'ular. Holatlar,Эмоции. Чувства. Состояния,Kuchli,Сильный,Emotions. Feelings. States,Strong
Emotsiyalar. Tuyg'ular. Holatlar,Эмоции. Чувства. Состояния,Kulgili,Смешно,Emotions. Feelings. States,Funny
Emotsiyalar. Tuyg'ular. Holatlar,Эмоции. Чувства. Состояния,Kulgu,Смех,Emotions. Feelings. States,Laughter
Emotsiyalar. Tuyg'ular. Holatlar,Эмоции. Чувства. Состояния,Mag'rur,Гордый,Emotions. Feelings. States,Proud
Emotsiyalar. Tuyg'ular. Holatlar,Эмоции. Чувства. Состояния,Maqtanchoq,Хвастливый,Emotions. Feelings. States,Boastful
Emotsiyalar. Tuyg'ular. Holatlar,Эмоции. Чувства. Состояния,Mehribon,Добрый,Emotions. Feelings. States,Kind
Emotsiyalar. Tuyg'ular. Holatlar,Эмоции. Чувства. Состояния,Mehribonlik,Нежность,Emotions. Feelings. States,Kindness / Tenderness
Emotsiyalar. Tuyg'ular. Holatlar,Эмоции. Чувства. Состояния,Muhabbat,Любовь,Emotions. Feelings. States,Love
Emotsiyalar. Tuyg'ular. Holatlar,Эмоции. Чувства. Состояния,Muloyim,Вежливый,Emotions. Feelings. States,Polite / Gentle
Emotsiyalar. Tuyg'ular. Holatlar,Эмоции. Чувства. Состояния,Nafrat,Ненависть,Emotions. Feelings. States,Hatred
Emotsiyalar. Tuyg'ular. Holatlar,Эмоции. Чувства. Состояния,Ochiq,Открытый,Emotions. Feelings. States,Open
Emotsiyalar. Tuyg'ular. Holatlar,Эмоции. Чувства. Состояния,Ochko'z,Жадный,Emotions. Feelings. States,Greedy
Emotsiyalar. Tuyg'ular. Holatlar,Эмоции. Чувства. Состояния,Odat,Привычка,Emotions. Feelings. States,Habit
Emotsiyalar. Tuyg'ular. Holatlar,Эмоции. Чувства. Состояния,Oddiy,Простой,Emotions. Feelings. States,Simple / Ordinary
Emotsiyalar. Tuyg'ular. Holatlar,Эмоции. Чувства. Состояния,Og'riq,Боль,Emotions. Feelings. States,Pain
Emotsiyalar. Tuyg'ular. Holatlar,Эмоции. Чувства. Состояния,Oson,Легко,Emotions. Feelings. States,Easy
Emotsiyalar. Tuyg'ular. Holatlar,Эмоции. Чувства. Состояния,Qattiq,Строгий,Emotions. Feelings. States,Strict / Hard
Emotsiyalar. Tuyg'ular. Holatlar,Эмоции. Чувства. Состояния,Qiyin,Трудно,Emotions. Feelings. States,Difficult
Emotsiyalar. Tuyg'ular. Holatlar,Эмоции. Чувства. Состояния,Qizg'in,Горячий,Emotions. Feelings. States,Hot / Passionate
Emotsiyalar. Tuyg'ular. Holatlar,Эмоции. Чувства. Состояния,Qo'pol,Грубый,Emotions. Feelings. States,Rude
Emotsiyalar. Tuyg'ular. Holatlar,Эмоции. Чувства. Состояния,Qo'rqitmoq,Пугать,Emotions. Feelings. States,To frighten
Emotsiyalar. Tuyg'ular. Holatlar,Эмоции. Чувства. Состояния,Qo'rqmoq,Бояться,Emotions. Feelings. States,To be afraid
Emotsiyalar. Tuyg'ular. Holatlar,Эмоции. Чувства. Состояния,Qo'rqmoq,Пугаться,Emotions. Feelings. States,To be afraid
Emotsiyalar. Tuyg'ular. Holatlar,Эмоции. Чувства. Состояния,Qo'rquv,Страх,Emotions. Feelings. States,Fear
Emotsiyalar. Tuyg'ular. Holatlar,Эмоции. Чувства. Состояния,Quvonch,Радость,Emotions. Feelings. States,Joy
Emotsiyalar. Tuyg'ular. Holatlar,Эмоции. Чувства. Состояния,Rahm-shafqat,Жалость,Emotions. Feelings. States,Pity / Compassion
Emotsiyalar. Tuyg'ular. Holatlar,Эмоции. Чувства. Состояния,Saxiy,Щедрый,Emotions. Feelings. States,Generous
Emotsiyalar. Tuyg'ular. Holatlar,Эмоции. Чувства. Состояния,Sevgi,Влюблённость,Emotions. Feelings. States,Love / Infatuation
Emotsiyalar. Tuyg'ular. Holatlar,Эмоции. Чувства. Состояния,Shafqatsiz,Жестокий,Emotions. Feelings. States,Cruel
Emotsiyalar. Tuyg'ular. Holatlar,Эмоции. Чувства. Состояния,Shok,Шок,Emotions. Feelings. States,Shock
Emotsiyalar. Tuyg'ular. Holatlar,Эмоции. Чувства. Состояния,Sovuq,Холодный,Emotions. Feelings. States,Cold
Emotsiyalar. Tuyg'ular. Holatlar,Эмоции. Чувства. Состояния,Tabassum,Улыбка,Emotions. Feelings. States,Smile
Emotsiyalar. Tuyg'ular. Holatlar,Эмоции. Чувства. Состояния,Tinchlik,Покой,Emotions. Feelings. States,Peace / Calm
Emotsiyalar. Tuyg'ular. Holatlar,Эмоции. Чувства. Состояния,Tirishqoq,Старательный,Emotions. Feelings. States,Diligent
Emotsiyalar. Tuyg'ular. Holatlar,Эмоции. Чувства. Состояния,Uyat,Стыд,Emotions. Feelings. States,Shame
Emotsiyalar. Tuyg'ular. Holatlar,Эмоции. Чувства. Состояния,Xafa,Обидно,Emotions. Feelings. States,Offended
Emotsiyalar. Tuyg'ular. Holatlar,Эмоции. Чувства. Состояния,Xohlamaslik,Не хотеть,Emotions. Feelings. States,Not wanting
Emotsiyalar. Tuyg'ular. Holatlar,Эмоции. Чувства. Состояния,Xohlamoq,Хотеть,Emotions. Feelings. States,To want
Emotsiyalar. Tuyg'ular. Holatlar,Эмоции. Чувства. Состояния,Xursand,Весёлый,Emotions. Feelings. States,Happy / Cheerful
Emotsiyalar. Tuyg'ular. Holatlar,Эмоции. Чувства. Состояния,Yaxshi,Хорошо,Emotions. Feelings. States,Good
Emotsiyalar. Tuyg'ular. Holatlar,Эмоции. Чувства. Состояния,Yig'lamoq,Плакать,Emotions. Feelings. States,To cry
Emotsiyalar. Tuyg'ular. Holatlar,Эмоции. Чувства. Состояния,Yomon,Злой,Emotions. Feelings. States,Bad / Evil
Emotsiyalar. Tuyg'ular. Holatlar,Эмоции. Чувства. Состояния,Yomon,Плохо,Emotions. Feelings. States,Bad / Evil
Emotsiyalar. Tuyg'ular. Holatlar,Эмоции. Чувства. Состояния,Yopiq,Замкнутый,Emotions. Feelings. States,Closed / Reserved
Emotsiyalar. Tuyg'ular. Holatlar,Эмоции. Чувства. Состояния,Yoqadi,Нравится,Emotions. Feelings. States,Likes
Emotsiyalar. Tuyg'ular. Holatlar,Эмоции. Чувства. Состояния,Yoqimli,Симпатичный,Emotions. Feelings. States,Pleasant / Attractive
Emotsiyalar. Tuyg'ular. Holatlar,Эмоции. Чувства. Состояния,Yoqmaydi,Не нравится,Emotions. Feelings. States,Doesn't like
Emotsiyalar. Tuyg'ular. Holatlar,Эмоции. Чувства. Состояния,Zaif,Слабый,Emotions. Feelings. States,Weak
Emotsiyalar. Tuyg'ular. Holatlar,Эмоции. Чувства. Состояния,Zavq,Удовольствие,Emotions. Feelings. States,Pleasure / Delight
Emotsiyalar. Tuyg'ular. Holatlar,Эмоции. Чувства. Состояния,Zerikish,Скука,Emotions. Feelings. States,Boredom
Hayvonlar dunyosi,В мире животных,Ari,Пчела,Animal World,Bee
Hayvonlar dunyosi,В мире животных,Ayiq,Медведь,Animal World,Bear
Hayvonlar dunyosi,В мире животных,Begemot,Бегемот,Animal World,Hippopotamus
